Unnamed: 0,Unnamed: 0.1,Username,Tweet,Datetime,Number of Followers,Number of Comments,Number of Retweets,Number of Likes,cleaned Tweet,vader_sentiment,vader_score
148,148,LMT978,"$AAPL put $21B on the bottom line. $GOOGL $18B, $MSFT $16B...for one quarter. Cash generating machines. $FB $AMZN up next. $QQQ",2021-07-27 21:21:55+00:00,67936,6,41,329,aapl put 21b bottom line googl 18b 16b one quarter cash generate machine fb amzn next qqq,neu,0.0
149,149,EconomPic,"Looks like $GOOGL earned $92 and $MSFT earned $8 (EPS) the last 4 quarters (which if used as the denominator for March 2020 lows would be P/Es of ~11x and ~17x).

If you’re using CAPE to value US equity markets, you’re betting these earnings will fall 60%+ permanently.",2021-07-27 21:00:29+00:00,32244,13,20,242,look like googl earn earn eps last quarter use denominator march low would p e 11x 17x use cape value u equity market bet earn fall permanently,neu,0.4215
150,150,Investingcom,"⚠️BREAKING:

*MICROSOFT TOPS $60 BILLION IN ANNUAL EARNINGS FOR THE FIRST TIME

$MSFT",2021-07-27 20:45:25+00:00,599480,7,77,340,break top billion annual earn first time,neu,0.2023
151,151,mattjbrown,"$MSFT Xbox FY21 Q4 earnings

- Gaming revenue up 11%
- Xbox content and services revenue down 4% YoY, reflecting record quarter in FY20 due to COVID
- Xbox hardware revenue grew 172% driven by Xbox Series X|S",2021-07-27 20:10:52+00:00,2353,7,49,318,xbox fy21 q4 earn game revenue xbox content service revenue yoy reflect record quarter fy20 due covid xbox hardware revenue grow drive xbox series x,neu,0.0
152,152,CNBCnow,EARNINGS: Microsoft Q4 EPS $2.17 vs. $1.92 Est.; Q4 Revs. $46.15B vs. $44.24B Est. • $MSFT https://t.co/EaBbFFVEGB https://t.co/0mcZ2zPETd,2021-07-27 20:07:10+00:00,699137,15,137,333,earn q4 eps v est q4 rev 15b v 24b est,neu,0.0
153,153,TradingThomas3,25% of QQQ reporting tonight? popcorns ready? this is better than the Olympics. $QQQ $AAPL $GOOGL $MSFT,2021-07-27 19:00:11+00:00,23049,17,33,267,qqq report tonight popcorn ready good olympics qqq aapl googl,neu,0.6597
154,154,cvpayne,"Markets the rest of the show
Fed Preview
Earnings Preview
$AAPL
$MSFT
$GOOG
$V
$SBUX
When Does the Selling Stop
Buy the Dip 
Be Cool &amp; Make Money",2021-07-27 18:46:58+00:00,663587,15,24,233,market rest show feed preview earn preview aapl goog v sbux sell stop buy dip cool amp make money,neu,0.0258
156,156,HeroDividend,"💰10 Dividend Growth Stocks💰

$MA 💳
$DG 💰
$WM ♻️
$IBM 🔵
$NEE ⚡️
$LOW 👷🏻‍♂️
$MSCI 📈
$ABBV 💊
$MSFT  ☁️
$AVGO 🏙",2021-07-27 12:23:55+00:00,31709,19,58,328,dividend growth stock dg wm ibm nee low msci abbv avgo,neu,0.128
158,158,freshjiva,"Updated $TSLA cash ROIC. We are now firmly in the league of $AMZN, $NVDA and even $MSFT. And it's only the beginning. https://t.co/N2cYIx2SzA",2021-07-26 22:11:21+00:00,12442,9,58,363,update tsla cash roic firmly league amzn nvda even begin,neu,0.0
159,159,Dividend_Dollar,"Invest in what you KNOW &amp; UNDERSTAND

📦 $AMZN $SHOP
🏦 $SQ
🏡 $RDFN $Z
🎮 $SE
⚡️ $TSLA $NIO
💻 $MSFT
⛽️ $XOM $CVX
🥤 $KO $PEP
🚬 $PM $MO
🕵️ $CRWD
👟 $NKE
👜 $SPG
🐶 $CHWY
🐭 $DIS
🍎 $AAPL
🍕 $DPZ
☕️ $SBUX
🏈 $DKNG
🎯 $TGT
🚗 $GM $F $LCID
✈️ $LUV
💻 $GOOGL $TTD
☎️ $T
🛠️ $HD $LOW",2021-07-26 14:30:00+00:00,29591,9,53,252,invest know amp understand amzn shop sq rdfn z se tsla nio xom cvx ko pep pm mo crwd nke spg chwy dis aapl dpz sbux dkng tgt gm f lcid luv googl ttd hd low,neu,-0.2732
160,160,CarterBWorth,"It’s going to be exciting.

The 5 largest stocks w/ a combined mkt cap of $9.4 trillion (24% of the $SPX) report EPS this week.

This has only happened 5 times in their joint history. In the week in question, the mkt has been lackluster, each time.

$AAPL $MSFT $AMZN $GOOGL $FB https://t.co/lP7kfo1nNW",2021-07-26 13:21:42+00:00,39597,16,85,310,go excite large stock w combine mkt cap trillion spx report eps week happen time joint history week question mkt lackluster time aapl amzn googl fb,neu,0.4767
161,161,rhemrajani9,"What 🧺 would you take ? Set and forget for 5 years 

A) $BEAM $SE $AMZN $FVRR
B) $NTLA $SQ $MSFT $TWLO 
C) $CRSP $SHOP $AAPL $ABNB
D) $ARKG $PINS $NVDA $NET
 
Or create your own... #stocks #investing #longterm",2021-07-25 19:38:56+00:00,5143,154,25,268,would take set forget year beam se amzn fvrr b ntla sq twlo c crsp shop aapl abnb arkg pin nvda net create,neu,0.0516
163,163,jicchamatome,"👴ビデオサマリー(7/25)
- 来週注目の決算発表: $TSLA $AAPL $MSFT $AMZN $GOOG $FB - 全部いい決算だと思う
- 決算: 今期も絶好調、SP500企業の24％くらいは決算発表終了、そのうち88％がEPSで予想を上回ってる
- 今後の相場: 9月10月はかなり荒れると思う",2021-07-25 12:54:18+00:00,107007,1,55,670,tsla aapl amzn goog fb sp5002488eps,neu,0.0
164,164,gityamatome,"【速報まとめ】2021/7/25 じっちゃまLive

👴「今週発表される重要な決算について」

コンセンサス予想

7/26（月）引け後 
$TSLA :EPS98￠、売上114億ドル

7/27（火）引け後
$GOOG :EPS19.15ドル、売上高560.5億ドル
$AAPL :EPS1.01ドル、売上高734.4億ドル
$MSFT:EPS1.92ドル、売上高443億ドル",2021-07-25 09:31:49+00:00,49953,2,15,251,live tsla eps98114 goog eps19 aapl eps1 eps1,neu,0.0
165,165,JesseCohenInv,"💥BIG EARNINGS WEEK AHEAD 👀👀

*Monday: $TSLA
*Tuesday: $AAPL $MSFT $GOOGL $AMD $V $SBUX $UPS
*Wednesday: $FB $SHOP $PYPL $MCD $BA $PFE $F $QCOM
*Thursday: $AMZN $PINS $MA $TWLO
*Friday: $CAT $XOM $CVX $PG $CL

$DIA $SPY $QQQ $IWM $VIX https://t.co/m3ypR7rv8k",2021-07-24 18:39:15+00:00,33306,20,143,478,big earn week ahead monday tsla tuesday aapl googl amd v sbux up wednesday fb shop pypl mcd ba pfe f qcom thursday amzn pin twlo friday cat xom cvx pg cl dia spy qqq iwm vix,neu,0.0
166,166,reciknows,"#earnings next week 👀👀
 
$TSLA $GE $AAPL $AMD $MSFT $GOOG $V $ENPH $QS $BA $SHOP $TLRY $SPOT $FB $F $PYPL $QCOM $AMZN $PINS $TWLO $PG $CVX https://t.co/Bcmwgi1AT4",2021-07-24 18:08:25+00:00,17338,14,53,255,next week tsla ge aapl amd goog v enph q ba shop tlry spot fb f pypl qcom amzn pin twlo pg cvx,neu,0.0
167,167,OMillionaires,"Some implied moves for #earnings next week(1of3):

$TSLA 7.3%
$AAPL 4.2%
$AMZN 4.5%
$MSFT 3.2%
$GOOGL 4.3%
$FB 5.7%
$TDOC 8.0%
$SBUX 4.0%
$V 3.3%
$AMD 6.6%
$SHOP 7.1%
$BA 4.1%
$SPOT 7.4%
$MCD 2.8%
$PYPL 5.5%
$NOW 6.0%
$ALGN 7.8%
$OSTK 12.3%
$PINS 12.1%
$TWLO 8.6%",2021-07-24 13:41:23+00:00,105646,12,65,329,imply move next week 1of3 tsla aapl amzn googl fb tdoc sbux v amd shop ba spot mcd pypl algn ostk pin twlo,neu,0.0
168,168,Benzinga,"🚨 Upcoming Earnings Report - Week of July 26th 🚨

What positions are you holding?!

$AMZN $AAPL $XOM $GOOG $MSFT $FB $F $UPS $PFE $PG $GE $BA $BUD $CAT $MRK $BG $BMY $TSLA $QCOM $AZN $SBUX $ASX $AMD $ABEV $MCD $CS $DB $BCS $V $MA $MMM $CVX $CMCSA $LMT $MDLZ $YUM $TEVA $SPY $QQQ https://t.co/kV9xNlU0ey",2021-07-24 03:01:13+00:00,198441,47,114,288,upcoming earn report week july 26th position hold amzn aapl xom goog fb f up pfe pg ge ba bud cat mrk bg bmy tsla qcom azn sbux asx amd abev mcd c db bcs v mmm cvx cmcsa lmt mdlz yum teva spy qqq,neu,0.0
169,169,garyblack00,"The Big 6 (FAATAM) all report earnings next week:

1/ $AAPL $2.48T +12%YTD TUE
2/ $MSFT $2.18T +30%YTD TUE
3/ $AMZN $1.84T +12%YTD THU
4/ $GOOG $1.82T +52%YTD TUE
5/ $FB $1.05T +35%YTD WED
6/ $TSLA $620B -9%YTD MON

FYI… $BRK has taken over the #6 market cap from TSLA at $637B",2021-07-23 21:48:45+00:00,85541,38,47,434,big faatam report earn next week aapl 48t ytd tue 18t ytd tue amzn 84t ytd thu goog 82t ytd tue fb 05t ytd wed tsla 620b ytd mon fyi brk take market cap tsla 637b,neu,0.2023
170,170,RamBhupatiraju,"My history with #FAANMGN and the investing lessons they taught me.

$FB $AAPL $AMZN $NFLX $MSFT $GOOG $NVDA

Sharing with some FinTwit friends @TMFJMo @BrianFeroldi @saxena_puru @FromValue @dhaval_kotecha @richard_chu97 @7Innovator @LiviamCapital @investing_city @BahamaBen9 https://t.co/dntjAzFOcW",2021-07-23 17:54:26+00:00,40192,28,93,627,history invest lesson teach fb aapl amzn nflx goog nvda share fintwit friend,neu,0.6597
171,171,Dividend_Dollar,"Dividends are a great way to build wealth. They come in all different shapes and sizes

They can offer growth or income, dividend growth, or all of the above

$O
$AVGO
$ABBV
$HD
$MO
$V
$MCD
$AAPL
$MSFT
$JNJ

10 GREAT dividend paying stocks",2021-07-23 13:41:00+00:00,29591,16,32,215,dividend great way build wealth come different shape size offer growth income dividend growth avgo abbv hd mo v mcd aapl jnj great dividend pay stock,neu,0.9451
172,172,PBJellyGames,"(6/x) EXAMPLE 1. PRE SLTs
- AMC MOASS HAPPENS
- HFs need to cover
- HFs sell billions worth of Long Positions in TESLA, MSFT AMZN
- TESLA, MSFT, AMZN all begin to crash, as does SNP500 and many indexes.
- Market gets scared and people all start to sell.
- APES WIN MARKET LOSES",2021-07-23 06:29:37+00:00,26569,3,40,301,x example pre slts amc moa happen hf need cover hf sell billion worth long position tesla amzn tesla amzn begin crash snp500 many index market get scar people start sell ape win market lose,neu,0.0772
173,173,rachels_44,"Some company Earnings for next week 📈📊

$TSLA - 7/26
$GOOGL - 7/27
$AAPL - 7/27
$MSFT - 7/27
$SBUX - 7/27
$AMD - 7/27
$TDOC - 7/27
$FB - 7/28
$PYPL - 7/28
$QCOM - 7/28
$SHOP 7/28
$NOW - 7/28
$LRCX - 7/28
$SPOT - 7/28
$AMZN 7/29
$MA - 7/29
$OSTK - 7/29
$CAT - 7/30",2021-07-23 01:46:15+00:00,38578,23,123,428,company earn next week tsla googl aapl sbux amd tdoc fb pypl qcom shop lrcx spot amzn ostk cat,neu,0.0
175,175,AMCbiggums,"#amc $amc Dark pool data 
now remember blue chips stocks hedge funds have most of their liquidity in so they would not attack them. Now notice the difference in blue chips stocks volume and shorted stocks.
Amc: 71.9%
GE: 43.1%
msft: 47.1%
amzn: 56.1%
appl: 57.9%
dis: 36.3%",2021-07-22 18:40:57+00:00,19785,14,93,352,amc dark pool data remember blue chip stock hedge fund liquidity would attack notice difference blue chip stock volume short stock amc ge amzn appl dis,neu,-0.4767
176,176,cinnamon_msft,"Now that Windows Terminal ships inside Windows, we are modifying our release process. The new versions will make their way through the Insider Program before being delivered to all machines.

With that being said, Windows Terminal 1.9 should be available to everyone today 😊",2021-07-22 16:56:56+00:00,17930,10,44,418,window terminal ship inside window modify release process new version make way insider program deliver machine say window terminal available everyone today,neu,0.0
177,177,HeroDividend,"⚡️Invest in the future⚡️

Crypto: $BTC $ETH
Gaming: $SE $MSFT
Travel: $ABNB $SPCE
Real estate: $RDFN $Z
Advertising: $TTD $FB
Gambling: $PENN $DKNG
Electric cars: $TSLA $NIO
Cybersecurity: $ZS $OKTA
Ecommerce: $SHOP $MELI
Solar energy: $ENPH $RUN
Healthcare: $TDOC $GDRX",2021-07-22 13:05:58+00:00,31711,43,144,729,invest future crypto btc eth game se travel abnb spce real estate rdfn z advertise ttd fb gamble penn dkng electric car tsla nio cybersecurity z okta ecommerce shop meli solar energy enph run healthcare tdoc gdrx,neu,0.2732
179,179,TD_Investor,"Some of the best Dividend/Dividend Growth stock that money can buy!

$PEP
$O
$HD
$KO
$MSFT
$MMM
$AAPL
$JPM
$PG
$JNJ
$CAT
$MCD
$FDX
$COST
$V
$VZ
$SBUX
$MA
$NKE
$XOM
$MO
$WMT
$BAC
$INTC
$ABBV

Add them to your watchlist, research them and build true passive income.
Bookmark this!",2021-07-22 10:15:59+00:00,23695,28,112,669,best dividend dividend growth stock money buy pep hd ko mmm aapl jpm pg jnj cat mcd fdx cost v vz sbux nke xom mo wmt bac intc abbv add watchlist research build true passive income bookmark,neu,0.886
180,180,alsabban1982,"بالسوق الامريكي هذه ال١١ هي الدائرة الاولى عندي وهي ليست للبيع مهما ارتفعت
$MSFT $GOOGL $AAPL $FB $AMZN $TSLA $TSM $ARKG $ARKW $TAN $ICLN

بالسعودي
ارامكو الاهلي الاسمنتات الريتات",2021-07-21 22:45:29+00:00,134786,4,15,286,بالسوق الامريكي هذه ال١١ هي الدائرة الاولى عندي وهي ليست للبيع مهما ارتفعت googl aapl fb amzn tsla tsm arkg arkw tan icln بالسعودي ارامكو الاهلي الاسمنتات الريتات,neu,0.0
181,181,alsabban1982,"١٠ سنوات ..جميل جدا

$TSLA
$MSFT
$GOOGL
$SNOW
$PLTR
$BNGO
$CRSO
$BYND
$TSM

بس ضروري تقرا قصة جحا https://t.co/vU9uc0xTYH",2021-07-21 20:40:45+00:00,134786,9,29,633,سنوات جميل جدا tsla googl snow pltr bngo crso bynd tsm بس ضروري تقرا قصة جحا,neu,0.0
182,182,eric_capuano,"I wish $MSFT would quit fucking around and just integrate Sysmon telemetry as a core component of the OS.

Imagine the benefits for SOC/IR teams... https://t.co/IRKIQUVeN5",2021-07-21 03:19:03+00:00,6930,16,32,205,wish would quit fuck around integrate sysmon telemetry core component o imagine benefit soc ir team,neu,0.296
183,183,LynAldenContact,"Nike $NKE stock is pretty wild. Black line is stock price. Blue line is what the stock price would be at its average 20-year valuation.

It has a higher P/E ratio than $MSFT, $AAPL, $GOOGL, or $FB. Chart via FAST Graphs. https://t.co/A6JT5lmWkb",2021-07-19 23:53:47+00:00,272304,73,78,827,nike nke stock pretty wild black line stock price blue line stock price would average year valuation high p e ratio aapl googl fb chart via fast graph,neu,0.4939
184,184,AviNMash,Does anyone ever want to just go all-in $MSFT and go to sleep for 5 years?,2021-07-19 19:26:16+00:00,11161,62,29,618,anyone ever want go go sleep year,neu,0.0772
186,186,STXRBOY999,Watchlist for next week: $GOOG puts - $MSFT puts - $SPY puts - $CPOP shares - $SPPI shares - $BA puts - $CLX calls………..ahem….,2021-07-18 03:41:51+00:00,89415,57,20,314,watchlist next week goog put put spy put cpop share sppi share ba put clx call ahem,neu,0.5267
187,187,InvestingAustin,"I’m an ETF/ Index investor, but if I did buy single stocks, my top 5 would be

- $AMZN (Amazon)
- $AAPL (Apple)
- $MSFT (Microsoft)
- $JNJ (Johnson &amp; Johnson)
- $KO (Coca-Cola)

Share your top 5👇🏼",2021-07-17 21:19:48+00:00,1465,105,47,415,etf index investor buy single stock top would amzn amazon aapl apple jnj johnson amp johnson ko coca cola share top,neu,0.6705
188,188,Dividend_Dollar,"Dividend Growth stocks can make you RICH

$HD
$V
$AVGO
$TSCO
$SBUX
$NKE
$ABBV
$LMT
$AAPL
$MSFT",2021-07-15 15:30:01+00:00,29591,8,51,361,dividend growth stock make rich hd v avgo tsco sbux nke abbv lmt aapl,neu,0.7351
189,189,XclusiveTrading,"📈#XclusiveTriggers 7/15📉

$AMD calls over 91, puts under 89
$NFLX calls over 557, puts under 553
$ETSY calls over 185, puts under 180
$TSLA calls over 661, puts under 653 
$SHOP calls over 1467, puts under 1461

$AAPL $AMC $AMZN $DASH $GME $GOOGL $MSFT $NVDA $PYPL $ROKU $TWTR",2021-07-15 13:29:31+00:00,29166,12,23,236,amd call put nflx call put etsy call put tsla call put shop call put aapl amc amzn dash gme googl nvda pypl roku twtr,neu,0.0
190,190,jicchamatome,"- 僕のポジション: コアは $VTI 、 $ZM $OKTA などのSAASはホールド、IPO銘柄は短期トレード(戦線縮小してる)
- $AAPL $MSFT $AMZN $FB: この辺は継続して投資してOK、値が伸びるままにまかせる
- $MAR $DAL $NCLH $H $HA: 今時間を割いて研究してるのはこの辺のリア充でモタモタしてる銘柄",2021-07-15 13:21:15+00:00,107008,2,14,273,vti zm okta saasipo aapl amzn fb ok mar dal nclh h ha,neu,0.5574
191,191,AnthonyOhayon,"Time for some math to explain why markets are not what they seem... Since June 22nd, the Nasdaq $NDX $NQ has gone up ~5.5%, ~780 points from 14,120 to 14,900. 

Of that:
206 points came from $AAPL
118 from $MSFT
76 from $AMZN
59 from $GOOGL
34 from $FB...",2021-07-15 01:43:06+00:00,44714,40,93,566,time math explain market seem since june 22nd nasdaq ndx nq go point point come aapl amzn googl fb,neu,0.0
192,192,RWPUSA,"Yet another stock jobbing congressman.  This guy likes to buy stock and sell options on the same company at the same time.  How cute.

GOP Rep. on cyber committee dumped MSFT stock shortly before $10B Pentagon contract was scrapped https://t.co/C99bZJMHUB",2021-07-15 01:18:44+00:00,742706,45,339,599,yet another stock job congressman guy like buy stock sell option company time cute gop rep cyber committee dump stock shortly 10b pentagon contract scrap,neu,0.4404
193,193,garyblack00,"It’s odd that 10-year Treas ylds are way down (1.356%, -6.1 bp) and long duration growth names are also way down ( $TSLA, $SHOP, $TDOC, $CRSP), while the bond proxies ( $GOOG, $AMZN, $AAPL, $MSFT) are all up, pushing NDX up (+0.4%).

That’s what I call a shit market.",2021-07-14 18:52:05+00:00,85539,60,34,614,odd year treas ylds way bp long duration growth name also way tsla shop tdoc crsp bond proxy goog amzn aapl push ndx call shit market,neu,-0.5106
194,194,cinnamon_msft,"Windows Terminal Preview 1.10 is here! Quake mode is in the system tray and the command palette is in the dropdown menu!

Windows Terminal 1.9 is being rolled out over the next few days. This means quake mode is coming soon to a terminal near you! 😁

https://t.co/7IP9w8QTP2",2021-07-14 17:10:35+00:00,17930,15,115,468,window terminal preview quake mode system tray command palette dropdown menu window terminal roll next day mean quake mode come soon terminal near,neu,0.0
195,195,gannonbreslin,"I just want a 100 shares of $AAPL, $NVDA, and $MSFT is that too much to ask for??",2021-07-14 14:55:52+00:00,27284,27,9,258,want share aapl nvda much ask,neu,0.3612
197,197,LuisMiguelValue,"Tengo que admitir que me he vuelto a enganchar a jugar al Age of Empires II.

Mano de santo para pasar un buen rato y desconectar del trabajo.

Long $MSFT https://t.co/nQeEd07btb",2021-07-14 12:45:19+00:00,36158,39,8,317,tengo que admitir que vuelto enganchar jugar al age empire ii mano de santo para pasar un buen rato desconectar del trabajo long,neu,0.0
198,198,us_stock_invest,"$TDOC $MSFT
TeladocとMicrosoftがコラボを発表

TeladocのシステムとMicrosoft Teamsを統合し、医師および患者がバーチャル・ヘルスケアにアクセス可能に

Teamsのビデオ会議で遠隔医療する際にTeladocの臨床データにアクセスできるようになるそう

今後の進展も楽しみ😇

https://t.co/m3wbwMKiNS https://t.co/qHNH6xauvv",2021-07-14 12:24:42+00:00,42176,3,47,269,tdoc teladocmicrosoft teladocmicrosoft team teamsteladoc,neu,0.0
201,201,NorthmanTrader,"4 stocks, $AAPL, $AMZN, $GOOGL &amp; $MSFT now have a combined market cap north of $8 trillion, equaling the size of the Fed's balance sheet &amp; 37% of US GDP.
Add $FB and you have $9 trillion in 5 stocks or 42% of US GDP.

20% of total US market cap is concentrated in 5 stocks.",2021-07-14 09:32:12+00:00,305837,156,512,2077,stock aapl amzn googl amp combine market cap north trillion equal size feed balance sheet amp u gdp add fb trillion stock u gdp total u market cap concentrate stock,neu,0.0
202,202,StockMKTNewz,"Apple $AAPL, Amazon $AMZN, Microsoft $MSFT and Google $GOOGL hit new All Time Highs so far today",2021-07-13 14:20:49+00:00,117600,12,24,215,apple aapl amazon amzn google googl hit new time high far today,neu,0.1779
204,204,realwillmeade,$VERB a $2 tech stock has a partnership with $MSFT Outlook and its sales tool is available on the Microsoft App Store #BigDeal https://t.co/bafWGA4pL4,2021-07-13 13:26:44+00:00,258351,0,43,218,verb tech stock partnership outlook sale tool available app store,neu,0.0
205,205,passinvestcom,"🎪直近5年リターン比較🎪
誰もが知る大企業に投資するだけで
たった5年で資産が数倍になりました⤴️
$AAPL 👉542.8%
$MSFT 👉476.8%
$AMZN 👉398.7%
$GOOGL 👉249.7%
$FB 👉198.9%

ちなみに
$QQQ 👉240.9% https://t.co/kXE7tp0YdV",2021-07-11 02:24:16+00:00,13410,10,15,250,aapl amzn googl fb qqq,neu,0.0
208,208,HelloIrisApp,"(Per her previous filings, these are the returns since her original buys)

$CRWD - 92%
$DIS - 2%
$AAPL - 10%
$AB - 42%
$RBLX - 35%
$MSFT - 102%
$AMZN - 17%
$NVDA - 33%
$GOOG - a lot 

*please note, these %’s reflect the increase in stock price &amp; not the actual assets she bought",2021-07-09 19:09:45+00:00,4061,6,27,202,per previous file return since original buy crwd dis aapl ab rblx amzn nvda goog lot please note reflect increase stock price amp actual asset buy,neu,0.8126
209,209,MarketRebels,"$MSFT will be giving it's employees a $1,500 pandemic bonus, which will cost them a total of $200M",2021-07-08 17:44:10+00:00,130809,15,39,445,give employee pandemic bonus cost total 200m,neu,0.5423
210,210,Beth_Kindig,"Jeff Bezos stepping down and Andy Jassy taking his place tells you where Big Tech thinks we are in the cloud cycle (i.e. early). 

$AMZN $MSFT $GOOGL $BABA #Bezos",2021-07-07 17:26:18+00:00,99088,16,27,350,jeff bezos step andy jassy take place tell big tech think cloud cycle e early amzn googl baba,neu,0.0
211,211,yosw4y,"$AMC Dark Pool Print Report: 70,752 trades affected in dark pool. DP volume % of Open market volume was 59.7%. As we get deeper into the data, it sometimes becomes mind numbing. Just remember what we've uncovered in dark pools. Here's $MSFT* for comparison: https://t.co/V2S3yP352j",2021-07-07 00:52:53+00:00,5529,33,112,437,amc dark pool print report trade affect dark pool dp volume open market volume get deep data sometimes become mind numb remember uncover dark pool comparison,neu,-0.34
212,212,InvestmentTalkk,"Over the past 5Y: 

- $FB +200%
- $NFLX +458%
- $AAPL +485%
- $MSFT + 430%
- $GOOGL +250%

- S&amp;P 500 +103%",2021-07-06 20:18:04+00:00,43708,43,55,673,past 5y fb nflx aapl googl amp p,neu,0.0
213,213,NorthmanTrader,"Government: Big cap tech is getting too big and powerful.

Defense department: here, have a multi billion dollar cloud contract.

$MSFT $AMZN",2021-07-06 19:19:53+00:00,305837,12,35,361,government big cap tech get big powerful defense department multi billion dollar cloud contract amzn,neu,0.5106
215,215,Matt_Cochrane7,"One of the best skills you can learn as an investor is to add to winners. As Peter Lynch would say:

“Selling your winners and holding your losers is like cutting the flowers and watering the weeds.""

Here are my buys of $MSFT as it approaches its 5-yr anniversary in my portfolio https://t.co/GFRbMbcRlX",2021-07-06 13:29:00+00:00,29013,11,26,282,one best skill learn investor add winner peter lynch would say sell winner hold loser like cut flower water weed buy approach yr anniversary portfolio,neu,0.8689
216,216,mukund,"$MSFT shares are up 375.6% since Bill Gates stepped down from the CEO role in January 2000. Most of it after 2016.

$AAPL up 918.3% since Steve Jobs' August 2011 retirement. 

$GOOGL Larry Page stepped aside in 2019, has experienced a 92% increase

$AMZN next?",2021-07-06 13:19:50+00:00,56510,22,30,289,share since bill gate step ceo role january aapl since steve job august retirement googl larry page step aside experience increase amzn next,neu,0.5423
217,217,EliteOptions2,"Elite Options Watchlist 💡

$AAPL 7/9 141C over 140 | Target 🎯: 143 | Stop loss: 139
$GOOGL 7/9 2540C over 2500 | Target 🎯: 2540 | Stop loss: 2485
$MSFT 7/16 280C over 277 | Target 🎯: 280 | Stop loss: 277
$CRWD 7/23 270C over 260 | Target 🎯: 270 | Stop loss: 255",2021-07-06 00:00:03+00:00,82112,5,39,293,elite option watchlist aapl 141c target stop loss googl 2540c target stop loss 280c target stop loss crwd 270c target stop loss,neg,-0.9325
218,218,BahamaBen9,"What's the top 10 largest U.S. stocks in 2031?

Current top 10 largest U.S. stocks by market cap

1 Apple $AAPL
2 Microsoft $MSFT
3 Google $GOOGL
4 Amazon $AMZN
5 Facebook $FB
6 Berkshire $BRK.B
7 Tesla $TSLA
8 Nvidia $NVDA
9 Visa $V
10 JPMorgan $JPM

Give me your 2031 top 10 👇",2021-07-05 04:17:36+00:00,45269,150,102,1011,top large u stock current top large u stock market cap apple aapl google googl amazon amzn facebook fb berkshire brk b tesla tsla nvidia nvda visa v jpmorgan jpm give top,neu,0.6249
219,219,cinnamon_msft,"Happy July 4th! 🇺🇸🎆

Also Windows Terminal has blink support 😉 https://t.co/RJpGPIePQJ",2021-07-04 18:29:32+00:00,17930,7,20,305,happy july 4th also window terminal blink support,pos,0.7506
220,220,AbdullahMashat,"نقطة مهمة:

للشخص المهتم بالاستثمار في شركات التقنية عبر صناديق الـETF

يوجد خيار افضل من صندوق SPY وهو صندوق QQQ والذي يتبع سوق Nasdaq صاحب التركيز التقني العالي

وزن اكبر 5 شركات تقنية في SPY = ٢١٪
وزن اكبر 5 شركات تقنية في QQQ = ٤٢٪

اكبر 5 شركات هي $AAPL $MSFT $AMZN $GOOG $FB https://t.co/84wAyziCcX",2021-07-04 12:02:42+00:00,183498,15,35,389,نقطة مهمة للشخص المهتم بالاستثمار في شركات التقنية عبر صناديق الـetf يوجد خيار افضل من صندوق spy وهو صندوق qqq والذي يتبع سوق nasdaq صاحب التركيز التقني العالي وزن اكبر شركات تقنية في spy وزن اكبر شركات تقنية في qqq اكبر شركات هي aapl amzn goog fb,neu,0.0
221,221,zerohedge,"For every $1 allocated to SPX: 6 cents goes into AAPL, 5 cents goes into MSFT, 4c into AMZN, 4c into GOOG/L, and 2c into FB... = 21 cents.

For every $1 allocated to NDX: 11 cents goes into AAPL, 10c into MSFT, 9c into AMZN, 8c into GOOG/L, and 4c into FB... = 42 cents. 
- GS",2021-07-03 18:39:00+00:00,1102421,25,175,800,every allocate spx cent go aapl cent go 4c amzn 4c goog l 2c fb cent every allocate ndx cent go aapl 10c 9c amzn 8c goog l 4c fb cent g,neu,0.0
222,222,JezCorden,"Push Square is one of the only PS outlets I see demanding better.

IT DOES work.

Complaints about Msft store:
https://t.co/JWSJaOwKy1

Complaints about localisation:
https://t.co/6zHZ2KHYZG

https://t.co/pKARKCgxD7 

Complaints about XBLG price hike:
https://t.co/bY2bbYRnB0 etc. https://t.co/vRLEhxwZMg",2021-07-03 18:05:35+00:00,35550,30,65,698,push square one p outlet see demand good work complaint store complaint localisation complaint xblg price hike etc,neu,-0.4939
223,223,MalwareJake,"So let's set some ground rules:
Independent verification that the newly released model is only trained on kernel source
It's the full kernel source, from all versions (leave Win2k out if you want due to that pesky Java thing)
All kernel drivers owned by MSFT are included too 3/",2021-07-03 15:48:35+00:00,93268,4,13,292,let set grind rule independent verification newly release model train kernel source full kernel source version leave win2k want due pesky java thing kernel driver own include,neu,-0.2732
224,224,TradingThomas3,"In a giving mood this weekend so going to be giving away another 7! TT3 Newsletter subs away, to enter just LIKE+RETWEET+COMMENT and must be following. Winner will be announced Monday. 

$AAPL $AMD $AMZN $BA $BABA $BIDU $FB $GOOGL $NFLX  $MSFT $PINS  $SE $SNAP $SPY $SQ $NIO $TSLA",2021-07-03 11:35:34+00:00,23049,158,154,274,give mood weekend go give away another tt3 newsletter sub away enter like retweet comment must follow winner announce monday aapl amd amzn ba baba bidu fb googl nflx pin se snap spy sq nio tsla,neu,0.743
